CS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Afonso Botelho,,,,,,,,,,,,2,,,,,
Afonso Elias,,,,,,,,,,,,,,,,,
Afonso Virtuoso,,,,,,,,1,,,,3,,,,,4
Bernardo Serrão Brochado,8,4,2,,6,4,4,2,7,6,2,6,5,,8,4,5
Bruna Bernardino,1,,,1,,,,,,4,,,,,,,
Francisca Sampaio,7,5,7,6,7,7,7,7,5,2,7,7,6,6,4,8,7
Francisco Lobo Xavier,,,,,3,,,3,1,,5,,,,,,
Francisco Ouro,,,3,3,2,1,,,2,5,4,1,3,3,3,1,
Henrique Galado,,,,,,,,,,,3,,,,,,
João Maria Pedra Soares,3,3,4,2,5,3,,6,4,1,,,4,5,,3,
João Pedro Ferreira,,,,,,,,,,,,,,,,,
José Francisco Reis,,,1,4,4,2,1,4,,,,5,,2,2,2,1
Luís Archer,,,,,,,3,,,,,,,1,,,2
Manuel Castel-Branco,6,8,8,8,8,6,6,8,8,,6,,7,8,6,7,6
Manuel Pedro Serralha,5,7,6,7,1,8,8,5,6,8,8,8,8,7,7,6,8
Manuel Salema Garção,,,,,,,,,,,,,1,,,,
Maria Rebelo Monteiro,4,6,,5,,5,,,3,7,1,4,2,,5,,
Miguel Cruz Fernandes,,1,,,,,,,,,,,,,,,
Miguel Serra Borges,,,,,,,,,,,,,,,,,3
Raquel Trindade,2,2,5,,,,5,,,3,,,,4,1,5,
Rodrigo Leitão,,,,,,,2,,,,,,,,,,
Tomás Virtuoso,,,,,,,,,,,,,,,,,
