CS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Manuel Pedro Serralha,1,1,4,4,6,5,1,4,2,4,1,1,4,2,2,7,2,1
Manuel Castel-Branco,5,2,,2,1,1,8,1,1,5,8,7,,3,3,1,3,5
Francisca Sampaio,,7,,1,2,2,3,2,4,3,3,2,5,4,,5,5,
Afonso Virtuoso,,3,3,7,4,7,7,6,7,1,4,5,1,,7,2,8,
Bernardo Brochado,4,,2,3,,3,5,,,2,,6,,5,1,,6,3
José Francisco Reis,,5,,5,3,4,,3,3,7,,3,3,6,,3,,6
João Maria Pedra Soares,,,,8,8,6,2,8,6,6,,,,1,,,1,
Manuel Salema Garção,6,,7,,5,,6,5,8,8,,4,8,7,,8,4,8
Teresa Patrício Gouveia,3,4,8,,,,,,,,2,,2,,,,,
Francisco Lobo Xavier,7,,,,7,8,4,7,5,,7,,,,,6,,
José Maria Matias,8,6,6,6,,,,,,,,,6,,5,,,
Francisco Ouro,,,,,,,,,,,5,8,7,8,6,,7,
Henrique Galado,,,5,,,,,,,,6,,,,,,,4
Rodrigo Leitão,,,,,,,,,,,,,,,4,4,,7
Miguel Serra Borges,,,1,,,,,,,,,,,,8,,,
Afonso Botelho,,8,,,,,,,,,,,,,,,,2
Duarte Vieira,2,,,,,,,,,,,,,,,,,
Afonso Elias,,,,,,,,,,,,,,,,,,
Luís Archer,,,,,,,,,,,,,,,,,,
Maria Rebelo Monteiro,,,,,,,,,,,,,,,,,,
Miguel Cruz Fernandes,,,,,,,,,,,,,,,,,,
Pedro Tovar,,,,,,,,,,,,,,,,,,
Raquel Trindade,,,,,,,,,,,,,,,,,,
